PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
108.9,16134.461538461539,-78.69999999999999,-86.03846153846153,-81.97692307692309,32.69230769230769,63.84615384615385,0.0,248.46153846153845,37.15384615384615,366.3923076923077,366.3923076923077,366.3923076923077
109.0,16120.686956521738,-77.5741304347826,-85.77282608695653,-81.68934782608696,29.295652173913044,57.2,6.521739130434782e-05,244.58478260869566,28.223913043478262,368.41434782608695,368.42869565217393,368.4145652173913
109.1,16154.0,-78.18571428571428,-85.61428571428571,-81.51428571428572,32.0,62.714285714285715,0.0,139.28571428571428,20.571428571428573,367.11428571428576,367.14285714285717,367.11428571428576
109.2,16154.0,-78.825,-85.05,-80.95,38.5,75.25,0.0,241.25,19.75,365.85,365.85,365.85
109.3,16154.0,-80.03333333333335,-85.26666666666667,-81.14444444444445,43.333333333333336,85.44444444444444,0.0,205.55555555555554,26.555555555555557,363.5111111111111,363.5222222222222,363.5111111111111
109.4,16154.0,-78.5625,-86.7875,-82.7375,28.375,55.125,0.0,210.625,24.125,366.15,366.1875,366.15
109.5,16154.0,-79.35000000000001,-87.96666666666665,-83.98333333333333,27.5,54.333333333333336,0.0,254.16666666666666,21.5,364.59999999999997,364.59999999999997,364.59999999999997
109.6,16154.0,-78.3,-86.46666666666665,-82.39999999999999,31.333333333333332,61.0,0.0,175.0,30.333333333333332,366.4666666666667,366.4666666666667,366.4666666666667
109.8,16154.0,-78.25,-85.4,-81.35,31.0,60.0,0.0,240.0,25.0,366.3,366.3,366.3
109.9,16154.0,-78.45,-86.0,-81.9,29.0,57.0,0.0,162.5,22.0,365.9,365.9,365.9
110.0,16071.591240875912,-77.54428223844282,-85.50997566909976,-81.41849148418491,30.67396593673966,59.87104622871046,9.732360097323601e-05,242.69586374695865,29.61557177615572,367.5104622871046,367.52773722627734,367.5116788321168
110.1,16154.0,-78.75,-84.8,-80.7,38.0,74.0,0.0,242.5,13.5,365.15,365.15,365.15
110.2,16090.5,-78.475,-86.675,-82.625,31.25,61.5,0.0,253.75,23.0,365.575,365.575,365.575
110.3,16154.0,-78.8,-85.8,-81.8,31.0,61.0,0.0,10.0,37.0,364.8,364.9,364.8
110.4,16154.0,-78.7,-84.23333333333333,-80.06666666666666,43.333333333333336,84.66666666666667,0.0,203.33333333333334,13.0,365.0,365.0,365.0
110.5,16154.0,-79.7,-85.2,-81.1,40.0,78.0,0.0,10.0,44.0,363.0,363.0,363.0
110.6,16154.0,-80.7,-86.7,-82.6,36.0,72.0,0.0,5.0,17.0,361.1,361.1,361.1
110.7,16154.0,-79.4,-84.4,-80.2,44.0,87.0,0.0,130.0,33.0,363.3,363.4,363.3
111.0,16020.810218978102,-77.41289537712896,-85.50024330900243,-81.40778588807785,29.659367396593673,57.858880778588805,0.0,245.30900243309003,28.795620437956206,366.8058394160584,366.8221411192214,366.8060827250608
111.7,15850.0,-77.1,-86.7,-82.7,20.0,40.0,0.0,295.0,72.0,366.7,366.7,366.7
